"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:53:56 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.491"
"Records Found","2668"
"Records Returned","2668"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18669","spm","","486010","0","48627","Geol. Survey Canada no. 8537","holotype","","","femur","","1","table","","width is least diameter","Thescelosaurus edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18670","spm","","486010","0","48627","Geol. Survey Canada no. 8537","holotype","","","tibia","","1","table","","width is least diameter","Thescelosaurus edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18671","spm","","486010","0","48627","Geol. Survey Canada no. 8537","holotype","","","fibula","","1","table","","diameter not stated","Thescelosaurus edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18672","spm","","260042","0","25149","M.U.O. 8-9-S9","holotype","","","femur","","1","table","","no diameter stated","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7059"
"18673","spm","","260042","0","25149","M.U.O. 8-9-S9","holotype","","","tibia","","1","table","","width is least antero-posterior diameter (transverse diameter is greater)","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7059"
"18674","spm","","260042","0","25149","M.U.O. 8-9-S9","holotype","","","fibula","","1","table","","with is ""of shaft and [sic] midlength""","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7059"
"18675","spm","","475161","30612","47147","HMN SII","holotype","","","femur","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n2090 mm according to Paul 1988\r\ncircumference based on Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18676","spm","","475161","30612","47147","HMN SII","holotype","","","tibia","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18677","spm","","475161","30612","47147","HMN SII","holotype","","","humerus","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n2130 mm according to Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18678","spm","","475161","30612","47147","HMN SII","holotype","","","radius","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1240 mm according to Paul 1988","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
