"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:43:37 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"Elapsed Time","1.13"
"Records Found","2399"
"Records Returned","2399"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Batesland","","","20.43","15.97","US","1","10"
"str","","Batylykh","","sandstone","145","125","RU","1","4"
"str","","Bausandstein","","""limestone""","208.5","196.5","DE","1","1"
"str","","Bayan Mandahu","","sandstone","83.6","72.1","CN","15","18"
"str","","Bayangobi","","claystone","125","113","CN","4","5"
"str","","Bayingebi","","","125.45","122.46","CN","1","1"
"str","","Baynshire","","sandstone/mudstone,mudstone,sandstone,siltstone/sandstone,claystone,""siliciclastic""","100.5","83.6","MN,KZ","43","137"
"str","","Baynunah","","sandstone/conglomerate","11.608","5.333","AE","1","1"
"str","","Bearpaw Shale","","""shale""","83.5","66","CA","7","9"
"str","","Bearreraig Sandstone","","sandstone","171.6","168.4","UK","1","1"
"str","","Becerra","","","0.126","0.0117","MX","1","12"
"str","","Bechlejovice II","","","23.03","5.333","CZ","1","1"
"str","","Beds of Nogon Tsav","","mudstone/sandstone,""siliciclastic""","72.1","66","MN","2","7"
"str","","Beglia","","sandstone","13.82","7.246","TN","2","6"
"str","","Bell Ranch","","sandstone/siltstone","157.3","152.1","US","1","2"
"str","","Bell Springs","","sandstone","228","201.3","US","1","1"
"str","","Bemerara","","grainstone/""siliciclastic"",lime mudstone/""siliciclastic"",lime mudstone,""limestone""/""siliciclastic""","171.6","164.7","MG","6","8"
"str","","Benot Ya'aqov","","""limestone""","2.588","0.0117","IL","1","1"
"str","","Berchem","Kiel Sand","sandstone","13.65","12.7","BE","1","1"
"str","","Bermont","","sandstone/siltstone","1.8","0.3","US","1","34"
"str","","Beshtyubin","","sandstone","93.5","89.3","UZ","4","9"
"str","","Bhuj","Lower","sandstone/siltstone","145","100.5","IN","1","2"
"str","","Bhuj","Upper","sandstone/""shale""","145","100.5","IN","1","2"
"str","","Bin el Ouidane","","""limestone""","170.3","168.3","MA","1","2"
"str","","Birket Qarun","","claystone","38","33.9","EG","1","1"
"str","","Bissekty","","conglomerate,sandstone,sandstone/conglomerate","93.5","89.3","UZ","39","165"
"str","","Bissett Conglomerate","","","145","109","US","1","1"
"str","","Black Creek","","sandstone","83.6","72.1","US","1","1"
"str","","Black Rock Sandstone","","sandstone","7.246","3.6","AU","1","2"
"str","","Black Rock Sandstone","Sandringham Sandstone","sandstone","7.246","5.333","AU","1","6"
"str","","Blackheath Beds","Abbey Wood","sandstone","56","47.8","UK","1","1"
"str","","Blanche Point","","marl","38","33.9","AU","1","1"
"str","","Blanche Point","Transitional Marl","marl","37.2","33.9","AU","1","2"
"str","","Blanco","","","4.9","1.8","US","1","1"
"str","","Blaziny Oolite Limestones","","""limestone""","161.2","155.7","PL","1","2"
"str","","Blesa","","claystone,""limestone""","130","125.45","ES","5","11"
"str","","Blesa","Cabezo Gordo","claystone","130","125.45","ES","1","35"
"str","","Blufftown","","claystone/sandstone","85.8","70.6","US","4","7"
"str","","Bohdasín","","sandstone","247.2","201.3","CZ","1","1"
"str","","Bohlen","","","33.9","28.4","DE","1","1"
"str","","Bone Valley","","","5.333","2.588","US","1","1"
"str","","Bonnet Plume","","sandstone","70.6","66","CA","2","3"
"str","","Boom","","claystone","33.9","28.1","BE","1","1"
"str","","Borgloon","Boutersem","sandstone","33.9","28.1","BE","1","10"
"str","","Bosagin","","","83.6","66","KZ","1","1"
"str","","Bosbokpoort","","siltstone","237","201.3","ZA","4","4"
"str","","Bostobe","","claystone/sandstone,sandstone,sandstone/claystone,claystone","86.3","70.6","KZ","19","52"
"str","","Bou Hanifia","","","11.608","5.333","DZ","1","1"
"str","","Boulder Creek","Walton Creek","sandstone/mudstone","109","99.6","CA","5","6"
"str","","Box Butte","Red Valley","","20.43","15.97","US","1","1"
"str","","Bozeş","","siltstone","83.5","70.6","RO","1","1"
"str","","Bredasdorp & Varswater","","sandstone","23.03","2.588","ZA","1","1"
"str","","Brejo Santo","","claystone","163.5","145","BR","1","1"
"str","","Brezno","","","89.8","83.6","CZ","1","1"
"str","","Bridger","","""siliciclastic""/sandstone","48.6","37.2","US","6","13"
"str","","Bridger","Blacks Fork","sandstone","50.3","46.2","US","1","1"
"str","","Bridger","lower","","50.3","46.2","US","4","6"
"str","","Bridger","upper","","50.3","46.2","US","2","9"
"str","","Broadford Beds","","siltstone/""limestone""","199.3","190.8","UK","1","1"
"str","","Broome Sandstone","","sandstone,sandstone/siltstone","139.8","125","AU","26","54"
"str","","Broome Sandstrone","","sandstone","139.8","125","AU","27","38"
"str","","Brule","","sandstone","33.9","23.03","US","2","2"
"str","","Brule","Poleslide","sandstone","33.3","30.8","US","3","4"
"str","","Brule","Scenic","","33.9","33.3","US","2","2"
"str","","Brussels","","sandstone","47.8","41.3","BE","3","3"
"str","","Brussles","B","sandstone","47.8","41.3","BE","1","1"
"str","","Bückeberg","","""shale""/claystone","145","140.2","DE","2","3"
"str","","Bückeberg","Obernkirchen","sandstone/mudstone,sandstone,claystone,siltstone/sandstone,mudstone,mudstone/sandstone,sandstone/claystone","145","140.2","DE","17","33"
"str","","Bückeberg","Osterwald","","139.8","132.9","DE","2","3"
"str","","Budden Canyon","Chickabally","""limestone""/mudstone","122.46","112.03","US","1","1"
"str","","Bull Canyon","","","228","208.5","US","1","1"
"str","","Bullion Creek","","""shale""","61.7","56.8","US","1","3"
"str","","Buralkenyntuz","","","93.5","83.6","KZ","1","1"
"str","","Burnside","","marl","37.2","36","NZ","1","4"
"str","","Burro Canyon","","sandstone","129.4","125","US","1","4"
"str","","C1/LR","","sandstone","3.6","2.588","MA","1","1"
"str","","Cabaços","","marl,lime mudstone,sandstone/marl","157.3","152.1","PT,ES","3","5"
"str","","Cabao","","sandstone","132.9","125","LY","5","5"
"str","","Calcaire d'Ecouché","","""carbonate"",chalk","167.7","164.7","FR","2","2"
"str","","Calcaire de Rognac","","""carbonate""","72.1","66","FR","1","3"
"str","","Calcaire de Saint-Ouen","","""limestone""","41.3","38","FR","1","1"
"str","","Calcaire de Valognes","","""carbonate""","201.3","196.5","FR","1","1"
"str","","Calcaire Nankin","","packstone","199.3","190.8","FR","1","1"
"str","","Calcaires à Spatangues","","""limestone""","132.9","129.4","FR","2","2"
"str","","Calcaires à Stipites","","packstone,""limestone"",marl/lignite,lime mudstone","167.7","164.7","FR","7","11"
"str","","Calcaires de Caen","Banc Royal","""limestone""","167.7","164.7","FR","1","1"
"str","","Calcaires de Caen","Pierre de Caen","""limestone""","167.7","164.7","FR","1","1"
"str","","Calcaires de Clerval","","""limestone""","161.2","155.7","FR","1","2"
"str","","Calcaires de Rognac","","""limestone""","72.1","66","FR","1","1"
"str","","Calcaires et Argiles de Vignevielle","","marl","70.6","66","FR","2","2"
"str","","Calcaires lithographiques de Vachères","","""limestone""","33.9","28.4","FR","1","2"
"str","","Calcare de Altamura","","sandstone","85.8","83.5","IT","1","2"
"str","","Calcare di Bari","Corato","wackestone,grainstone","125.45","122.46","IT","3","4"
"str","","Calcare di Cellina","","wackestone,wackestone/""limestone""","125","113","IT","2","3"
"str","","Calcare Massiccio","","""limestone""","201.3","174.1","IT","1","1"
"str","","Calcareous Grit","","sandstone","163.5","157.3","UK","1","1"
"str","","Caleta Herradura de Mejillones","upper","""carbonate""","3.6","2.588","CL","1","3"
"str","","Calizas de Oliete","Margas de la Dehesa","marl","122.46","112.03","ES","1","1"
"str","","Caloosahatchee","","","1.8","0.3","US","2","10"
"str","","Camadas de Almargem","","""limestone""/marl","125.45","122.46","PT","1","3"
"str","","Camarillas","","sandstone,mudstone/sandstone,claystone,claystone/sandstone,sandstone/claystone,""shale"",claystone/""limestone""","125.45","122.46","ES","34","60"
"str","","Camarillas","Unit 5","mudstone/sandstone","130","125.45","ES","1","2"
"str","","Cambay Shale","","siltstone/claystone,sandstone","56","47.8","IN","2","3"
"str","","Camfield Beds","","","15.97","11.608","AU","1","2"
"str","","Cañadón Asfalto","","mudstone","182","175.6","AR","1","3"
"str","","Caneças","","""limestone""/claystone","100.5","93.9","PT","1","1"
"str","","Cangxi","","siltstone","139.8","129.4","CN","1","1"
"str","","Cañon del Colorado","Upper Pelitic","","201.3","174.1","AR","2","2"
"str","","Cantwell","","""siliciclastic"",sandstone","83.5","66","US","6","8"
"str","","Capadare","","""limestone""","13.82","11.62","VE","1","1"
"str","","Capas Rojas","","sandstone","125.45","122.46","ES","3","4"
"str","","Cape Sebastian Sandstone","","sandstone","83.5","70.6","US","1","1"
"str","","Capistrano","","siltstone,""shale""","7.246","5.333","US","2","2"
"str","","Caracoles","","sandstone/""limestone""","3.6","2.588","PE","1","3"
"str","","Cardiel","","","72.1","66","AR","1","1"
"str","","Cardium","","","93.5","85.8","CA","1","1"
"str","","Carhuaz","","sandstone","129.4","125","PE","1","2"
"str","","Carl Creek Limestone","","""carbonate""","28.1","23.03","AU","2","3"
"str","","Castilletes","","mudstone","20.44","15.97","CO","1","1"
"str","","Castillo","","mudstone","20.44","15.97","VE","1","1"
"str","","Cazals","","marl","150.8","145","FR","1","4"
"str","","Cedar Mountain","Mussentuchit","sandstone,sandstone/""shale""","99.6","93.5","US","2","13"
"str","","Cedar Mountain","Ruby Ranch","dolomite","125","100.5","US","1","6"
"str","","Cedar Mountain","Yellow Cat","mudstone/sandstone","139.8","132.9","US","1","1"
"str","","Cerritos Bayos","","marl","164.7","161.2","CL","1","1"
"str","","Cerro Azul","","siltstone,siltstone/sandstone,sandstone/siltstone","9","4","AR","6","8"
